dwc:recordNumber,dwc:genus,species,dwc:scientificName,Day,Month,Year,Day.of.the.Year
,dirichletia,dirichletia pubescens,dirichletia pubescens,13,1,1972,13
magill 13529,fabronia,,fabronia pilifera hornsch.,5,2,1997,36
magill 13530,fabronia,,fabronia pilifera hornsch.,5,2,1997,36
,bulbophyllum,bulbophyllum scaberulum,bulbophyllum scaberulum,27,3,1985,86
,crotalaria,crotalaria,crotalaria goreensis,24,5,1987,144
,combretum,combretum adenogonium,combretum fragrans,31,10,1998,304
,tephrosia,tephrosia,tephrosia purpurea subsp. leptostachya,12,4,2005,102
,justicia,justicia,justicia,15,3,1985,74
,kotschya,kotschya,kotschya,23,5,1987,143
,crabbea,crabbea velutina,crabbea velutina,26,3,1989,85
,clerodendrum,clerodendrum ternatum,clerodendron ternatum,8,8,1993,220
,lepidagathis,lepidagathis scabra,lepidagathis scabra,13,6,2001,164
,cyperus,cyperus pseudokyllingioides,courtoisina cyperoides,29,3,2000,89
,eriocaulon,eriocaulon selousii,eriocaulon selousii,,,,
2529,habenaria,habenaria stolzii,habenaria stolzii schltr.,16,2,2003,47
86137/c,erythrodontium,erythrodontium squarrosum,erythrodontium squarrosum (hampe) paris,13,8,1986,225
3940,indigofera,indigofera setiflora,indigofera setiflora baker,2,3,1997,61
8544,desmodium,desmodium tanganyikense,desmodium tanganyikense baker,8,5,1964,129
10177,thesium,thesium dissitum,thesium dissitum n.e.br.,26,9,1967,269
3435,dichaetanthera,dichaetanthera verdcourtii,dichaetanthera verdcourtii a.fern. & r.fern.,23,11,1962,327
3244,bullockia,bullockia setiflora,canthium setiflorum hiern subsp. telidosma (k.schum.) bridson,11,4,1984,102
3794,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,1,9,1960,245
4926,brachystegia,brachystegia utilis,brachystegia utilis hutch. & burtt davy.,30,11,2006,334
338,chassalia,chassalia violacea,chassalia violacea k.schum.,28,1,2001,28
3776,ocimum,ocimum amicorum,ocimum amicorum a.j.paton,21,11,1994,325
4932,heteromorpha,heteromorpha arborescens,heteromorpha arborescens (spreng.) cham. & schltd. var. montana p. j. d. winter,30,11,2006,334
4953,securidaca,securidaca longepedunculata,securidaca longepedunculata fresen.,2,12,2006,336
5323,aloe,aloe chabaudii,aloe chabaudii schönland var. chabaudii,2,6,2008,154
2189,eulophia,eulophia longisepala,eulophia longisepala rendle,19,4,1989,109
11136,tinnea,tinnea aethiopica,tinnea aethiopica  hook.f. subsp. stolzii (robyns & lebrun) vollesen,,,,
10100,adenodolichos,adenodolichos punctatus,adenodolichos punctatus (micheli) harms subsp. punctatus verdc.,10,6,1967,161
3043,adenodolichos,adenodolichos rhomboideus,adenodolichos rhomboideus (o.hoffm.) harms,15,4,1989,105
74/184,commelina,commelina aurantiiflora,commelina aurantiiflora faden & raynsford,6,2,1974,37
4248,crossandra,crossandra nilotica,crossandra nilotica oliver,23,8,2005,235
2083,thunbergia,thunbergia lancifolia,thunbergia lancifolia t.anderson,14,8,2005,226
11613,thunbergia,thunbergia oblongifolia,thunbergia oblongifolia oliver,9,11,2006,313
12085,chamaecrista,chamaecrista robynsiana,chamaecrista robynsiana (ghesq.) lock,30,9,1973,273
11585,psammotropha,psammotropha,psammotropha,8,11,2006,312
304,murdannia,murdannia simplex,murdannia simplex (vahl) brenan,14,11,2007,318
5304,brachystegia,brachystegia spiciformis,brachystegia spiciformis benth.,31,5,2008,152
7657,clitoria,clitoria kaessneri,clitoria kaessneri harms,4,2,1963,35
,calyptrochilum,calyptrochilum christyanum,calyptrochilum christyanum,27,3,1985,86
,disperis,disperis johnstonii,disperis johnstonii,28,3,1985,87
,holarrhena,holarrhena,holarrhena,3,4,1989,93
1651,indigofera,indigofera emarginella,indigofera emarginella steud. ex a.rich. var. emarginella,,,,
,aeollanthus,aeollanthus repens,aeollanthus repens,9,4,1985,99
,ipomoea,ipomoea obscura,ipomoea obscura,26,3,1989,85
,holarrhena,holarrhena pubescens,holarrhena pubescens,26,3,1989,85
,sansevieria,sansevieria conspicua,sansevieria conspicua,26,3,1989,85
,fadogia,fadogia triphylla,fadogia triphylla,14,3,1975,73
9329,orthosiphon,orthosiphon rufinervis,orthosiphon rufinervis g.taylor,8,5,1914,128
228,kotschya,kotschya aeschynomenoides,kotschya aeschynomenoides (baker) dewit & p.a.duvign.,15,5,1994,135
"f11,512",protea,protea micans micans,protea micans welw. subsp. makutuensis chisumpa & brummitt,26,10,1972,300
3432 (s),adenodolichos,adenodolichos acutifolius,adenodolichos acutifolius verdc.,23,11,1962,327
4261,mellera,mellera menthiodora,mellera menthiodora lindau,24,8,2005,236
12591,raphionacme,raphionacme,raphionacme,9,12,2002,343
4928,faurea,faurea saligna,faurea saligna harv.,30,11,2006,334
12554,senecio,senecio pachyrhizus,senecio pachyrhizus o.hoffm.,31,8,2002,243
s.n.,tephrosia,tephrosia elata,tephrosia elata deflers subsp. heckmanniana (harms) brummitt,2,6,2008,154
4940,maesa,maesa lanceolata,maesa lanceolata forssk.,1,12,2006,335
1677,cleome,cleome hirta,cleome hirta oliv.,13,3,2009,72
11991,eleusine,eleusine africana,eleusine africana kenn.-o'byrne,21,3,1999,80
,walleria,walleria mackenzii,walleria mackenziei,13,3,1985,72
,myrsine,myrsine africana,myrsine africana,28,5,1971,148
6686,humularia,humularia bequaertii,humularia bequaertii (de wild.) p.a. duvign. var. purpureocoerulea (p.a. duvign.) verdc.,19,8,1961,231
8938,aloe,aloe fimbrialis,aloe fimbrialis s.carter,24,9,1964,268
1544,vitex,vitex mombassae,vitex mombassae vatke,8,12,1994,342
8965,droogmansia,droogmansia pteropus,droogmansia pteropus (baker) de wild. var. quarrei (de wild.) verdc.,17,10,1964,291
8991,ansellia,ansellia africana,ansellia africana lindl.,20,10,1964,294
1973,adenodolichos,adenodolichos kaessneri,adenodolichos kaessneri harms,13,6,1980,165
2841,desmodium,desmodium stolzii,desmodium stolzii schindl.,23,11,1968,328
2665,aeschynomene,aeschynomene,aeschynomene glauca r.e. fr.,13,9,1968,257
2660,aeschynomene,aeschynomene tenuirama,aeschynomene tenuirama welw. ex baker var. tenuirama verdc.,13,9,1968,257
s.n.,brachystegia,brachystegia boehmii,brachystegia boehmii taub.,2,6,2008,154
2024,vigna,vigna antunesii,vigna antunesii harms,2,9,1972,246
7155,indigofera,indigofera baumiana,indigofera baumiana harms,24,11,1962,328
9255,duosperma,duosperma fanshawei,duosperma fanshawei brummitt,14,8,1965,226
3323,psychotria,psychotria heterosticta,psychotria heterosticta e.m.a.petit var. pubescens verdc.,15,11,1962,319
11609,cryptolepis,cryptolepis oblongifolia,cryptolepis oblongifolia (meisn.) schltr.,9,11,2006,313
2808,barleria,barleria mpandensis,barleria mpandensis i.darbysh. subsp. tomentella i.darbysh.,14,7,1960,196
4922,albizia,albizia adianthifolia,albizia adianthifolia (schumach.) w. wight,30,11,2006,334
87217,angraecopsis,angraecopsis breviloba,angraecopsis breviloba summerh.,24,10,1987,297
7062,thunbergia,thunbergia lathyroides,thunbergia lathyroides burkill,8,11,2009,312
ab1216,acalypha,acalypha brachiata,acalypha villicaulis,27,12,1971,361
151,barleria,barleria mpandensis,barleria mpandensis i.darbysh.,29,7,1948,211
10203,actiniopteris,actiniopteris radiata,actiniopteris radiata,3,9,1983,246
,nervilia,nervilia kotschyi,nervilia kotschyi,27,3,1985,86
,tridactyle,tridactyle filifolia,tridactyle filifolia,27,3,1985,86
,tephrosia,tephrosia stormsii,tephrosia stormsii,24,5,1987,144
,triumfetta,triumfetta annua,triumfetta annua,24,5,1987,144
,unident-cyperaceae,unident-cyperaceae,cyperaceae,24,3,1989,83
,psychotria,psychotria pumila,psychotria pumila,3,2,1993,34
,kohautia,kohautia coccinea,kohautia coccinea,9,5,1972,130
,psydrax,psydrax livida,psydrax livida,22,1,2000,22
,wahlenbergia,wahlenbergia collomioides,wahlenbergia collomioides,13,5,1985,133
,bauhinia,bauhinia mendoncae,bauhinia mendoncae,28,2,1996,59
schmidt 1264,indigofera,indigofera sutherlandioides,indigofera sutherlandioides welw. ex baker,30,11,1993,334
harder 2226,swartzia,,swartzia madagascariensis desv.,9,12,1993,343
gereau 3830,brachystegia,brachystegia spiciformis,brachystegia spiciformis benth.,3,2,1991,34
lovett 461,bobgunnia,bobgunnia madagascariensis,bobgunnia madagascariensis (desv.) j.h. kirkbr. & wiersema,17,6,1991,168
harder 2131,maprounea,maprounea africana,maprounea africana müll. arg.,25,11,1993,329
gereau 5000,acalypha,acalypha polymorpha,acalypha polymorpha müll. arg.,3,11,1992,308
harder 1231,lannea,lannea edulis,lannea edulis var. edulis,24,10,1992,298
de nevers 3376,barleria,barleria holstii,barleria holstii lindau,1,5,1984,122
nkhoma 321,fimbristylis,fimbristylis dichotoma,fimbristylis dichotoma (l.) vahl,25,5,1994,145
ab 694,cissus,cissus trothae,cissus trothae,23,11,1970,327
harder 1193,phyllanthus,phyllanthus retinervis,phyllanthus retinervis hutch.,24,10,1992,298
kuchar 23047,gisekia,gisekia pharnaceoides,gisekia pharnaceoides l.,21,2,2000,52
kuchar 22521,undesignated,,asteraceae bercht. & j. presl,10,10,1999,283
kuchar 24569,friesodielsia,friesodielsia obovata,friesodielsia obovata (benth.) verdc.,12,5,2001,132
kuchar 23115,aeschynomene,aeschynomene trigonocarpa,aeschynomene trigonocarpa taub. ex baker f.,27,2,2000,58
harder 1512,syzygium,syzygium cordatum,syzygium cordatum hochst.,28,11,1992,333
kuchar 24782,combretum,combretum molle,combretum molle r. br. ex g. don,8,9,2001,251
kayombo 5049,croton,croton scheffleri,croton scheffleri pax,29,10,2005,302
harris dsm 2328,maerua,maerua calantha,maerua calantha gilg,1,1,1971,1
mollel 740,zanha,zanha africana,zanha africana exell,16,12,2001,350
mollel 676,triumfetta,triumfetta dekindtiana,triumfetta dekindtiana engl.,15,12,2001,349
kuchar 22148,andropogon,andropogon bicornis,andropogon l.,8,6,1999,159
harder 3103,spermacoce,spermacoce subvulgata,spermacoce subvulgata var. subvulgata,13,5,1994,133
harder 3171,julbernardia,julbernardia globiflora,julbernardia globiflora (benth.) troupin,17,5,1994,137
mboya 603,eragrostis,eragrostis congesta,eragrostis congesta oliv.,4,8,2002,216
kuchar 25166,tinnea,,tinnea gracilis gürke,3,3,2002,62
laizer 1471,erythrocephalum,erythrocephalum longifolium,erythrocephalum benth.,16,2,2006,47
bingham 8679,isoberlinia,isoberlinia doka,isoberlinia craib & stapf ex holland,23,11,1992,328
harder 3054,monotes,monotes angolensis,monotes angolensis de wild.,7,5,1994,127
kuchar 21956,combretum,combretum collinum,combretum collinum fresen.,13,5,1999,133
kuchar 22270,centema,centema gracilenta,centemopsis gracilenta (hiern) schinz,25,7,1999,206
kindeketa 1218,abutilon,abutilon angulatum,abutilon angulatum (guill. & perr.) mast.,25,6,2001,176
kindeketa 1395,grewia,,grewia bicolor juss.,8,12,2001,342
mollel 637,burttia,burttia prunoides,burttia prunoides baker f. & exell,11,6,2001,162
nawa 113,indigofera,indigofera baumiana,indigofera baumiana harms,24,2,1995,55
harder 2544,eriosema,,eriosema montanum baker f.,8,8,1995,220
mollel 716,chamaecrista,chamaecrista absus,chamaecrista absus (l.) h.s. irwin & barneby,16,12,2001,350
kindeketa 1383,julbernardia,julbernardia globiflora,julbernardia globiflora (benth.) troupin,8,12,2001,342
mollel 805,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,24,12,2001,358
kuchar 24799,cussonia,cussonia holstii,cussonia holstii harms ex engl.,8,9,2001,251
mboya 369,merremia,merremia tridentata,merremia tridentata (l.) hallier f.,19,6,2001,170
mollel 680,vitex,vitex mombassae,vitex mombassae vatke,15,12,2001,349
harder 2520,aeollanthus,aeollanthus subacaulis,aeollanthus subacaulis var. subacaulis,29,1,1995,29
kindeketa 905,fuirena,fuirena abnormalis,fuirena abnormalis c.b. clarke,25,5,2001,145
mollel 715,eragrostis,eragrostis patens,eragrostis patens oliv.,16,12,2001,350
mollel 807,panicum,panicum hirtum,panicum heterostachyum hack.,24,12,2001,358
bodine 186,psorospermum,psorospermum febrifugum,psorospermum febrifugum spach,18,2,2006,49
kindeketa 918,bidens,,bidens l.,10,6,2001,161
mwangoka 4251,vernonia,,vernonia schreb.,23,8,2005,235
harder 3577,undesignated,,apiaceae lindl.,28,2,1996,59
gereau 6987,thunbergia,thunbergia lathyroides,thunbergia lathyroides burkill,23,1,2008,23
festo 1979,pavetta,,pavetta l.,8,6,2005,159
bodine 143,helichrysum,helichrysum kirkii,helichrysum kirkii var. kirkii,7,6,2005,158
3217(b),adenodolichos,adenodolichos baumii,adenodolichos baumii harms,15,5,1969,135
710,desmodium,desmodium stolzii,desmodium stolzii schindl.,20,3,1964,80
7093,aeschynomene,aeschynomene pseudoglabrescens,aeschynomene pseudoglabrescens verdc.,22,10,1962,295
2031,adenodolichos,adenodolichos punctatus,adenodolichos punctatus (micheli) harms subsp. punctatus verdc.,27,8,1967,239
2633,aeschynomene,aeschynomene,aeschynomene glauca r.e. fr.,13,8,1968,226
2651,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,23,8,1968,236
161,parinari,parinari curatellifolia,parinari curatellifolia planch. ex benth.,9,5,1994,129
1773,brachystegia,brachystegia boehmii,brachystegia boehmii taub.,30,6,1998,181
1466,habenaria,habenaria silvatica,habenaria silvatica schltr.,8,2,1987,39
10023,humularia,humularia drepanocephala,humularia drepanocephala (baker) p.a. duvign var. homblei (de wild.) p.a. duvign,10,4,1967,100
11643,lopholaena,lopholaena trianthema,lopholaena trianthema (o.hoffm.) b.l.burtt,14,11,2006,318
5740,humularia,humularia rosea,humularia rosea (de wild.) p.a. duvign. var. rosea verdc.,19,4,1989,109
34750,fadogia,fadogia triphylla,fadogia triphylla baker var. peteri verdc.,12,1,1926,12
11874,psydrax,psydrax richardsiae,psydrax richardsiae d.m.bridson,19,5,1973,139
68,brachystelma,brachystelma festucifolium,brachystelma festucifolium e.a.bruce,11,1,1936,11
3038,crotalaria,crotalaria bemba,crotalaria bemba r.wilczek,15,4,1989,105
3043,adenodolichos,adenodolichos rhomboideus,adenodolichos rhomboideus (o.hoffm.) harms,15,4,1989,105
17547,aeschynomene,aeschynomene,aeschynomene glauca r.e. fr.,2,11,1966,306
6552,viscum,viscum loranthicola,viscum loranthicola polhill & wiens,7,1,1986,7
12836,polystachya,polystachya dendrobiiflora,polystachya dendrobiiflora rchb.f.,19,11,2008,324
12555,lopholaena,lopholaena dolichopappa,lopholaena dolichopappa (o.hoffm.) s.moore,31,8,2002,243
0220k,fadogia,fadogia luangwae,fadogia luangwae verdc.,5,2,1994,36
24314,vernonia,vernonia brachycalyx,vernonia brachycalyx o. hoffm,7,4,2001,97
24110,dactyloctenium,,dactyloctenium sp.,3,6,2012,155
86137/d,schiffneriolejeunea,schiffneriolejeunea polycarpa,schiffneriolejeunea polycarpa (nees) gradst.,13,8,1986,225
17010,humularia,humularia drepanocephala,humularia drepanocephala (baker) p.a. duvign. var. drepanocephala verdc.,30,3,1984,90
8960,rhynchotropis,rhynchotropis marginata,rhynchotropis marginata (n.e.br.) j.b.gillett,16,10,1964,290
2103,oocephala,oocephala stenocephala,vernonia stenocephala oliv.,14,8,2003,226
s.n.,psorospermum,psorospermum febrifugum,psorospermum febrifugum spach,2,6,2008,154
564,drimiopsis,drimiopsis botryoides,drimiopsis botryoides baker subsp. prostrata stedje,28,12,1971,362
2462,tarenna,tarenna luteola,tarenna luteola (stapf) bremek.,5,3,1997,64
s.n.,brachystegia,brachystegia utilis,brachystegia utilis hutch. & burtt davy,28,5,2008,149
3137,eleusine,eleusine indica,eleusine indica (l.) gaertn.,3,2,1973,34
mwangoka 6260,myrsine,,myrsine africana l.,4,7,2009,185
12616,erythrocephalum,erythrocephalum longifolium,erythrocephalum zambesianum oliv. & hiern,9,12,2002,343
3813,barleria,barleria griseoviridis,barleria griseoviridis i.darbysh.,8,5,1997,128
mwangoka 6250,keetia,keetia gueinzii,keetia gueinzii (sond.) bridson,4,7,2009,185
mwangoka 6272,vernonia,,vernonia schreb.,4,7,2009,185
3813,barleria,barleria griseoviridis,barleria griseoviridis i.darbysh.,8,5,1997,128
kuchar 25220,triumfetta,triumfetta pilosa,triumphetta griff.,17,3,2002,76
kibure 872,rinorea,rinorea paniculata,rinorea aubl.,24,4,2003,114
kibure 833,commiphora,commiphora mossambicensis,commiphora mossambicensis (oliv.) engl.,23,4,2003,113
mboya 400,undesignated,,fabaceae lindl.,20,6,2001,171
10573,mucuna,mucuna glabrialata,mucuna glabrialata (hauman) verdc.,16,4,1969,106
harder 2509,freesia,freesia laxa,freesia laxa subsp. laxa,29,1,1995,29
abeid 2310,agelaea,,agelaea sol. ex planch.,14,9,2005,257
schmidt 2448,undesignated,,polygalaceae hoffmanns. & link,5,3,1997,64
8868,aeschynomene,aeschynomene pararubrofarinacea,aeschynomene pararubrofarinacea j. leonard,30,7,1964,212
kuchar 22923,cenchrus,cenchrus ciliaris,cenchrus ciliaris l.,30,1,2000,30
schmidt 2516,tephrosia,tephrosia stormsii,tephrosia stormsii var. stormsii,18,3,1997,77
de nevers 3197,maerua,,maerua grantii oliv.,3,4,1984,94
kuchar 22657,thylachium,thylachium africanum,thilachium africanum lour.,17,12,1999,351
2527,habenaria,habenaria silvatica,habenaria silvatica schltr.,16,2,2003,47
gereau 5168,apodytes,apodytes dimidiata,apodytes dimidiata var. dimidiata,23,11,1992,328
de nevers 3190,acalypha,acalypha,acalypha indica l.,3,4,1984,94
kuchar 25044,ipomoea,ipomoea grantii,ipomoea grantii oliv.,9,1,2002,9
kuchar 22455,searsia,searsia longipes,rhus longipes var. longipes,12,9,1999,255
mwangoka 7492,undesignated,,annonaceae juss.,28,10,2011,301
kuchar 22294,barleria,barleria ventricosa,barleria ventricosa nees,25,7,1999,206
3751,ocimum,ocimum amicorum,ocimum amicorum a.j.paton,19,11,1994,323
harder 1298,markhamia,markhamia obtusifolia,markhamia obtusifolia (baker) sprague,28,10,1992,302
11588,dorstenia,dorstenia benguellensis,dorstenia benguellensis welw.,,,,
2418,acalypha,acalypha brachiata,acalypha villicaulis,17,9,1958,260
kuchar 24336,ocimum,ocimum basilicum,ocimum l.,7,4,2001,97
4942,morella,morella pilulifera,morella pilulifera (rendel) killick,1,12,2006,335
4946,monotes,monotes africanus,monotes africana a. dc.,1,12,2006,335
harder 4011,vigna,vigna macrorhyncha,vigna macrorrhyncha (harms) milne-redh.,9,3,1997,68
kuchar 21952,hibiscus,hibiscus vitifolius,hibiscus l.,13,5,1999,133
de nevers 3173,grevea,grevea eggelingii,grevea eggelingii var. eggelingii,3,4,1984,94
kuchar 22635,undesignated,,fabaceae lindl.,17,12,1999,351
5303,orobanche,orobanche minor,orobanche minor smith,30,5,2008,151
kuchar 22315,undesignated,,apocynaceae juss.,31,7,1999,212
kuchar 22114,undesignated,,lamiaceae martinov,8,6,1999,159
kuchar 21975,undesignated,,poaceae barnhart,13,5,1999,133
kuchar 22306,grewia,,grewia arborea (forssk.) lam.,31,7,1999,212
schmidt 1268,euclea,euclea crispa,euclea crispa subsp. crispa,30,11,1993,334
kuchar 23124,cassipourea,cassipourea mollis,cassipourea mollis (r.e. fr.) alston,27,2,2000,58
kuchar 22519,searsia,searsia crenulata,rhus glaucescens a. rich.,10,10,1999,283
nawa 121,undesignated,,orchidaceae juss.,24,2,1995,55
kindeketa 1158,pandiaka,,pandiaka rubrolutea (lopr.) c.c. towns.,18,6,2001,169
kindeketa 1152,polycarpaea,polycarpaea corymbosa,polycarpaea corymbosa (l.) lam.,18,6,2001,169
mollel 645,ochna,ochna jabotapita,ochna l.,15,12,2001,349
abeid 2319,garcinia,,garcinia l.,16,9,2005,259
mollel 781,basananthe,basananthe littoralis,basananthe peyr.,23,12,2001,357
mboya 408,flacourtia,flacourtia indica,flacourtia indica (burm. f.) merr.,27,6,2001,178
mboya 387,maerua,maerua eminii,maerua eminii pax,20,6,2001,171
mollel 690,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. stuhlmannii (taub.) polhill,15,12,2001,349
gereau 6209,millettia,millettia stuhlmannii,millettia stuhlmannii taub.,15,11,1998,319
mboya 337,vigna,vigna oblongifolia,vigna oblongifolia var. oblongifolia,19,6,2001,170
kindeketa 1388,combretum,combretum collinum,combretum collinum fresen.,8,12,2001,342
mollel 649,combretum,combretum zeyheri,combretum zeyheri sond.,15,12,2001,349
,unident-poaceae,unident-poaceae,poaceae,,,,
mboya 340,euphorbia,euphorbia matabelensis,euphorbia matabelensis pax,19,6,2001,170
mwangoka 4270,allophylus,allophylus zeylanicus,allophylus l.,24,8,2005,236
mollel 729,premna,,premna senensis klotzsch,16,12,2001,350
kindeketa 1102,psychotria,psychotria kirkii,psychotria kirkii var. kirkii,15,6,2001,166
mboya 312,hirpicium,hirpicium diffusum,hirpicium diffusum (o. hoffm.) roessler,12,6,2001,163
mollel 656,phyllanthus,phyllanthus engleri,phyllanthus engleri pax,15,12,2001,349
smith 229,undesignated,,thymelaeaceae juss.,4,2,1994,35
smith 239,indigofera,indigofera trita,indigofera l.,16,2,1994,47
smith 144,humularia,,humularia p.a. duvign.,24,1,1994,24
mboya 357,strychnos,strychnos potatorum,strychnos potatorum l. f.,19,6,2001,170
gereau 7004,rytigynia,rytigynia uhligii,rytigynia uhligii (k. schum. & k. krause) verdc.,23,1,2008,23
10065,aeschynomene,aeschynomene tenuirama,aeschynomene tenuirama welw. ex baker var. tenuirama verdc.,15,5,1967,135
7354,helichrysum,helichrysum patulifolium,helichrysum patulifolium baker,21,3,1986,80
10652,humularia,humularia descampsii,humularia descampsii (de wild. & t. durand) p.a. duvign var. abercornensis p. a. duvign,12,9,1969,255
9290,rhynchosia,rhynchosia insignis,rhynchosia insignis (o.hoffm.) r.e.fr.,21,8,1965,233
11626,vangueria,vangueria proschii,vangueria proschii briq.,21,12,1997,355
2896,eriocaulon,eriocaulon selousii,eriocaulon selousii s.m.phillips,20,10,1975,293
8574,crotalaria,crotalaria,crotalaria blanda polhill,5,5,1964,126
2417,acalypha,acalypha brachiata,acalypha villicaulis,17,9,1958,260
7929,aloe,aloe,aloe zebrina baker,10,8,1963,222
4950,ozoroa,ozoroa insignis,ozoroa insignis delile subsp. reticulata (baker f.) gillett,2,12,2006,336
10211,dolichos,dolichos trinervatus,dolichos trinervatus baker,20,7,1994,201
4941,englerophytum,englerophytum magalismontanum,englerophytum magalismontanum (sond.) t. d. penn.,1,12,2006,335
kuchar 23766,melinis,,melinis p. beauv.,21,5,2000,142
ab 2035,drimiopsis,drimiopsis botryoides,drimiopsis botryoides baker subsp. prostrata stedje,9,12,1972,344
kuchar 22119,ampelocissus,ampelocissus obtusata,ampelocissus obtusata subsp. obtusata,8,6,1999,159
5311,themeda,themeda triandra,themeda triandra forssk.,2,6,2008,154
kuchar 22303,capparis,capparis fascicularis,capparis fascicularis var. scheffleri (gilg & gilg-ben.) dewolf,31,7,1999,212
de nevers 3181,mollugo,mollugo nudicaulis,mollugo nudicaulis lam.,3,4,1984,94
mwangoka 5919,protea,,protea l.,27,10,2008,301
mboya 290,acacia,,acacia mill.,12,6,2001,163
harder 4000,kalanchoe,kalanchoe bouvetii,kalanchoe adans.,9,3,1997,68
gereau 3880,senecio,senecio pergamentaceus,senecio pergamentaceus baker,6,2,1991,37
harder 3107,rothmannia,rothmannia whitfieldii,rothmannia whitfieldii (lindl.) dandy,13,5,1994,133
gereau 5108,ochna,ochna afzelii,ochna afzelii subsp. mechowiana (o. hoffm.) n. robson,22,11,1992,327
gereau 4993,garcinia,,garcinia huillensis welw. ex oliv.,3,11,1992,308
kuchar 25223,indigofera,indigofera tanganyikensis,indigofera tanganyikensis var. tanganyikensis,17,3,2002,76
mollel 607,allophylus,allophylus africanus,allophylus africanus var. griseotomentosus (gilg) verdc.,13,6,2001,164
